SKU,LoadMaxQty,InFwdDemandCSV
50763-1MT-S,150.0,False
50763-1MT-XL,63.0,False
50763-1MT-XS,113.0,False
50763-6ZU-L,52.0,False
50763-6ZU-M,122.0,False
50763-6ZU-S,133.0,False
50763-6ZU-XL,16.0,False
50763-6ZU-XS,39.0,False
50763-NL1-L,64.0,False
50763-NL1-XL,27.0,False
50763-NL1-XS,21.0,False
50763-UD9-L,76.0,False
50763-UD9-M,83.0,False
50763-UD9-S,60.0,False
50763-UD9-XS,20.0,False
50764-001-L,100.0,False
50764-001-S,130.0,False
50764-001-XL,56.0,False
50764-001-XS,41.0,False
50764-NL1-L,54.0,False
50764-UD9-L,90.0,False
50764-UD9-M,105.0,False
50764-UD9-S,69.0,False
50764-UD9-XL,71.0,False
50764-UD9-XS,21.0,False
52121-2AB-100,36.0,False
52121-2AB-110,30.0,False
52121-2AB-120,27.0,False
52121-2AB-130,24.0,False
52121-2AB-140,21.0,False
52121-2AB-150,19.0,False
52121-2AB-160,18.0,False
52121-2AB-85,36.0,False
52121-2AB-90,36.0,False
52121-2AC-100,37.0,False
52121-2AC-110,30.0,False
52121-2AC-120,30.0,False
52121-2AC-130,24.0,False
52121-2AC-140,21.0,False
52121-2AC-150,18.0,False
52121-2AC-160,18.0,False
52121-2AC-85,36.0,False
52121-2AC-90,36.0,False
52309-1MW-L,65.0,False
52309-1MW-M,108.0,False
52309-1MW-S,86.0,False
52309-1MW-XL,21.0,False
52309-1MW-XS,24.0,False
52309-1NA-L,142.0,False
52309-1NA-M,150.0,False
52309-1NA-S,186.0,False
52309-1NA-XL,41.0,False
52309-1NA-XS,54.0,False
52309-3GB-L,79.0,False
52309-3GB-M,185.0,False
52309-3GB-S,200.0,False
52309-3GB-XL,20.0,False
52309-3GB-XS,72.0,False
52309-3GC-L,75.0,False
52309-3GC-M,185.0,False
52309-3GC-S,200.0,False
52309-3GC-XL,20.0,False
52309-3GC-XS,58.0,False
52309-WQ9-L,155.0,False
52309-WQ9-M,131.0,False
52309-WQ9-S,70.0,False
52309-WQ9-XL,130.0,False
52309-WQ9-XS,23.0,False
52312-J91-L,108.0,False
52312-J91-M,140.0,False
52312-J91-S,137.0,False
52312-J91-XL,70.0,False
52312-J91-XS,42.0,False
52399-011-M,60.0,False
52399-011-S,70.0,False
52399-011-XS,70.0,False
52399-011-XXS,52.0,False
52399-3LA-M,50.0,False
52399-3LA-S,61.0,False
52399-3LA-XS,61.0,False
52399-3LA-XXS,56.0,False
52399-3UU-S,60.0,False
52399-3UU-XS,65.0,False
52399-3UU-XXL,50.0,False
52399-3UU-XXS,44.0,False
52399-3UZ-L,50.0,False
52399-3UZ-M,50.0,False
52399-3UZ-S,60.0,False
52399-3UZ-XL,50.0,False
52399-3UZ-XS,65.0,False
52399-3UZ-XXL,50.0,False
52399-3UZ-XXS,57.0,False
52621-2C2-1/2,117.0,False
52621-2C2-10/12,260.0,False
52621-2C2-12/1Y,187.0,False
52621-2C2-1Y/3Y,195.0,False
52621-2C2-2/4,173.0,False
52621-2C2-3Y/5Y,170.0,False
52621-2C2-5/7,360.0,False
52621-2C2-7/9,286.0,False
52621-2FY-1/2,76.0,False
52621-2FY-10/12,260.0,False
52621-2FY-12/1Y,213.0,False
52621-2FY-1Y/3Y,165.0,False
52621-2FY-2/4,116.0,False
52621-2FY-3Y/5Y,144.0,False
52621-2FY-5/7,298.0,False
52621-2FY-7/9,260.0,False
52621-4XJ-1/2,59.0,False
52621-4XJ-10/12,260.0,False
52621-4XJ-12/1Y,167.0,False
52621-4XJ-1Y/3Y,161.0,False
52621-4XJ-2/4,89.0,False
52621-4XJ-3Y/5Y,144.0,False
52621-4XJ-5/7,216.0,False
52621-4XJ-7/9,260.0,False
52621-5BE-1/2,48.0,False
52621-5BE-10/12,258.0,False
52621-5BE-12/1Y,137.0,False
52621-5BE-1Y/3Y,180.0,False
52621-5BE-2/4,73.0,False
52621-5BE-3Y/5Y,142.0,False
52621-5BE-5/7,185.0,False
52621-5BE-7/9,245.0,False
52621-75Z-10/12,246.0,False
52621-75Z-12/1Y,176.0,False
52621-75Z-1Y/3Y,170.0,False
52621-75Z-2/4,198.0,False
52621-75Z-3Y/5Y,164.0,False
52621-75Z-5/7,300.0,False
52621-75Z-7/9,260.0,False
52622-2FY-M/L,138.0,False
52622-2FY-XL,138.0,False
52622-2FY-XS/S,138.0,False
52622-5BE-M/L,161.0,False
52622-5BE-XL,154.0,False
52622-5BE-XS/S,140.0,False
52667-FX8-OS,160.0,False
52706-NP0-100,85.0,False
52706-NP0-110,82.0,False
52706-NP0-130,66.0,False
52706-NP0-140,60.0,False
52706-NP0-150,59.0,False
