PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2022,W001,07-144W,W001,67163-kl9-100,1,1,1.0,2022-01-27,2022-01-27,DAX_Archive.arc
2022,invalid,09-141X,Invalid,66973-77M-90,1,1,1.0,2022-01-26,2022-01-26,DAX_Archive.arc
2022,W001,07-097B,W001,52606-56X-4Y,4,4,4.0,2022-01-22,2022-01-24,DAX_Archive.arc
2023,invalid,16-136W,Invalid,80468-326-150,1,1,1.0,2023-08-02,2023-08-02,DAX_Archive.arc
2025,W001,07-012Z,W001,82622-36L-100,1,1,1.0,2025-04-15,2025-04-15,DAX_Archive.arc
2022,W001,07-025B,W001,36086-PV5-120,1,1,1.0,2022-01-31,2022-01-31,DAX_Archive.arc
2022,invalid,23-137C,Invalid,67300-VJ3-140,53,53,53.0,2022-06-27,2022-07-27,DAX_Archive.arc
2022,W001,07-047W,W001,67751-WX3-75,1,1,1.0,2022-05-25,2022-05-25,DAX_Archive.arc
2026,W001,07-068D,W001,82483-3MX-110,1,1,1.0,2026-04-24,2026-04-24,DAX_Archive.arc
2022,W001,07-132B,W001,67078-FX9-XXL,14,14,15.0,2022-01-23,2022-03-13,DAX_Archive.arc
2022,W001,07-018Y,W001,66994-NB1-L,1,1,1.0,2022-02-07,2022-02-07,DAX_Archive.arc
2022,W001,07-115C,W001,57870-XJ5-XS,5,5,5.0,2022-07-20,2022-07-29,DAX_Archive.arc
2022,invalid,18-130B,Invalid,67048-T07-90,118,118,120.0,2022-08-29,2022-09-14,DAX_Archive.arc
2022,W001,07-083X,W001,66706-UQ2-70,2,2,2.0,2022-01-14,2022-01-15,DAX_Archive.arc
2025,invalid,34-026Z,Invalid,81535-VZ2-60,96,95,98.0,2025-01-07,2025-06-09,DAX_Archive.arc
2022,invalid,08-112X,Invalid,66844-PG5-90,1,1,1.0,2022-01-23,2022-01-23,DAX_Archive.arc
2022,invalid,17-130D,Invalid,80141-VM1-110,124,124,125.0,2022-10-25,2022-11-29,DAX_Archive.arc
2022,invalid,07-142B,Invalid,62423-J81-120,1,1,1.0,2022-02-08,2022-02-08,DAX_Archive.arc
2024,W001,07-047Z,W001,81647-A96-100,2,2,2.0,2024-10-09,2024-10-09,DAX_Archive.arc
2022,W001,07-033B,W001,67679-015-100,165,165,167.0,2022-04-29,2022-06-18,DAX_Archive.arc
2022,invalid,18-139Y,Invalid,66994-VK5-XS,39,39,41.0,2022-04-10,2022-07-18,DAX_Archive.arc
2022,invalid,07-142B,Invalid,60395-VL8-150,1,1,1.0,2022-01-26,2022-01-26,DAX_Archive.arc
2022,W001,07-104Y,W001,67010-77M-90,1,1,1.0,2022-01-13,2022-01-13,DAX_Archive.arc
2022,invalid,18-132B,Invalid,67557-001-60,168,168,169.0,2022-04-03,2022-06-08,DAX_Archive.arc
2022,W001,07-070Z,W001,67263-VN4-S,1,1,1.0,2022-01-10,2022-01-10,DAX_Archive.arc
2022,W001,07-043Y,W001,62618-VL2-120,2,2,2.0,2022-02-14,2022-02-15,DAX_Archive.arc
